"Step","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss__MIN","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss__MAX","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss__MIN","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss__MAX"
"165","","","","0.7069","0.7069","0.7069"
"166","","","","0.6974","0.6974","0.6974"
"168","","","","0.7369","0.7369","0.7369"
"169","","","","0.7143","0.7143","0.7143"
"170","","","","0.7179","0.7179","0.7179"
"171","","","","0.7472","0.7472","0.7472"
"172","","","","0.6831","0.6831","0.6831"
"173","","","","0.7312","0.7312","0.7312"
"174","","","","0.7028","0.7028","0.7028"
"175","","","","0.6815","0.6815","0.6815"
"176","","","","0.7234","0.7234","0.7234"
"177","","","","0.6876","0.6876","0.6876"
"178","","","","0.688","0.688","0.688"
"179","","","","0.7001","0.7001","0.7001"
"180","","","","0.7038","0.7038","0.7038"
"181","","","","0.7857","0.7857","0.7857"
"182","","","","0.7398","0.7398","0.7398"
"183","","","","0.6488","0.6488","0.6488"
"184","","","","0.6806","0.6806","0.6806"
"185","","","","0.6554","0.6554","0.6554"
"186","","","","0.7064","0.7064","0.7064"
"187","","","","0.6944","0.6944","0.6944"
"189","","","","0.6728","0.6728","0.6728"
"190","","","","0.6455","0.6455","0.6455"
"191","","","","0.7016","0.7016","0.7016"
"192","","","","0.6422","0.6422","0.6422"
"193","","","","0.7099","0.7099","0.7099"
"194","","","","0.7116","0.7116","0.7116"
